Economy,LPI Score,Customs Score,Infrastructure Score,International Shipments Score,Logistics Competence and Quality Score,Timeliness Score,Tracking and Tracing Score,Infrastructure Rank,Customs Rank,Shipments Rank,Logistics Rank,Timeliness Rank,Tracking Rank,Overall Rank,Total Score
Colombia,2.9,2.5,2.9,3.0,3.1,3.2,3.1,60.5,86.5,62.0,58.5,70.0,63.0,65.0,2.966666666666667
Peru,3.0,2.6,2.5,3.1,2.7,3.4,3.4,84.0,78.5,51.5,86.0,56.5,44.5,66.0,2.9499999999999997
Mexico,2.9,2.5,2.8,2.8,3.0,3.5,3.1,65.0,86.5,79.5,62.5,50.0,63.0,67.0,2.9499999999999997
Costa Rica,2.9,2.8,2.7,2.8,2.9,3.2,2.9,71.5,61.5,79.5,70.0,70.0,75.5,68.0,2.8833333333333333
Namibia,2.9,2.8,2.8,3.0,2.9,2.9,2.8,65.0,61.5,62.0,70.0,96.5,83.0,69.0,2.8666666666666667
Antigua and Barbuda,2.9,2.2,2.7,2.9,2.9,3.4,3.2,71.5,114.5,71.0,70.0,56.5,57.5,70.0,2.8833333333333333
Honduras,2.9,2.8,2.7,3.0,2.7,3.2,2.6,71.5,61.5,62.0,86.0,70.0,95.5,71.0,2.8333333333333335
Montenegro,2.8,2.6,2.5,2.8,2.8,3.2,3.2,84.0,78.5,79.5,78.0,70.0,57.5,72.0,2.8499999999999996
Benin,2.9,2.7,2.5,2.9,3.0,2.7,3.2,84.0,69.0,71.0,62.5,112.0,57.5,73.0,2.8333333333333335
Solomon Islands,2.8,2.4,2.6,2.9,2.9,3.2,2.9,77.5,95.0,71.0,70.0,70.0,75.5,74.0,2.8166666666666664
Argentina,2.8,2.7,2.8,2.7,2.7,3.1,2.9,65.0,69.0,87.5,86.0,81.0,75.5,75.0,2.8166666666666664
Rwanda,2.8,2.5,2.9,2.4,3.0,3.1,3.0,60.5,86.5,115.5,62.5,81.0,68.0,76.0,2.8166666666666664
Sri Lanka,2.8,2.5,2.4,2.8,2.7,3.3,3.0,98.0,86.5,79.5,86.0,61.5,68.0,77.0,2.783333333333333
"Bahamas, The",2.7,2.7,2.5,3.1,2.5,3.0,2.6,84.0,69.0,51.5,106.0,89.5,95.5,78.0,2.733333333333334
Serbia,2.8,2.2,2.4,2.9,2.7,3.4,2.9,98.0,114.5,71.0,86.0,56.5,75.5,79.0,2.75
Papua New Guinea,2.7,2.4,2.4,2.6,2.7,3.3,3.0,98.0,95.0,96.0,86.0,61.5,68.0,80.0,2.733333333333334
Djibouti,2.7,2.6,2.3,2.5,2.8,3.6,2.7,112.5,78.5,106.0,78.0,40.0,90.0,81.0,2.75
Belarus,2.7,2.6,2.7,2.6,2.6,3.1,2.6,71.5,78.5,96.0,97.0,81.0,95.5,82.0,2.6999999999999997
Kazakhstan,2.7,2.6,2.5,2.6,2.7,2.9,2.8,84.0,78.5,96.0,86.0,96.5,83.0,83.0,2.683333333333333
Paraguay,2.7,2.4,2.5,2.7,2.6,3.0,2.8,84.0,95.0,87.5,97.0,89.5,83.0,84.0,2.6666666666666665
Georgia,2.7,2.6,2.3,2.7,2.6,3.1,2.8,112.5,78.5,87.5,97.0,81.0,83.0,85.0,2.6833333333333336
El Salvador,2.7,2.4,2.2,2.6,2.7,3.2,2.9,121.0,95.0,96.0,86.0,70.0,75.5,86.0,2.6666666666666665
Ukraine,2.7,2.4,2.4,2.8,2.6,3.1,2.6,98.0,95.0,79.5,97.0,81.0,95.5,87.0,2.65
Dominican Republic,2.6,2.6,2.7,2.4,2.6,3.1,2.4,71.5,78.5,115.5,97.0,81.0,110.5,88.0,2.6333333333333333
Guinea-Bissau,2.6,2.7,2.4,2.9,2.9,2.4,2.3,98.0,69.0,71.0,70.0,130.5,122.5,89.0,2.6
Guatemala,2.6,2.3,2.4,2.8,2.7,2.6,2.7,98.0,105.0,79.5,86.0,119.5,90.0,90.0,2.5833333333333335
Mauritius,2.5,2.4,2.5,1.9,2.5,3.1,2.9,84.0,95.0,137.0,106.0,81.0,75.5,91.0,2.5500000000000003
Mali,2.6,2.6,2.0,2.6,2.5,3.1,2.7,130.5,78.5,96.0,106.0,81.0,90.0,92.0,2.5833333333333335
"Congo, Rep.",2.6,2.3,2.1,2.6,2.9,2.9,2.7,127.0,105.0,96.0,70.0,96.5,90.0,93.0,2.5833333333333335
Uzbekistan,2.6,2.6,2.4,2.6,2.6,2.8,2.4,98.0,78.5,96.0,97.0,104.5,110.5,93.0,2.566666666666667
Russian Federation,2.6,2.4,2.7,2.3,2.6,2.9,2.5,71.5,95.0,124.0,97.0,96.5,101.0,95.0,2.566666666666667
Grenada,2.5,2.6,2.5,2.6,2.2,3.1,2.3,84.0,78.5,96.0,129.0,81.0,122.5,96.0,2.5499999999999994
Nigeria,2.6,2.4,2.4,2.5,2.3,3.1,2.7,98.0,95.0,106.0,122.0,81.0,90.0,97.0,2.5666666666666664
Bangladesh,2.6,2.3,2.3,2.6,2.7,3.0,2.4,112.5,105.0,96.0,86.0,89.5,110.5,98.0,2.55
Moldova,2.5,1.9,1.9,2.7,2.8,3.0,2.8,133.5,133.5,87.5,78.0,89.5,83.0,99.0,2.516666666666667
Central African Republic,2.5,2.4,2.6,2.1,2.9,2.6,2.4,77.5,95.0,133.0,70.0,119.5,110.5,100.0,2.5
Jamaica,2.5,2.2,2.4,2.4,2.5,2.9,2.8,98.0,114.5,115.5,106.0,96.5,83.0,101.0,2.533333333333333
Tajikistan,2.5,2.2,2.5,2.5,2.8,2.9,2.0,84.0,114.5,106.0,78.0,96.5,134.5,101.0,2.4833333333333334
Albania,2.5,2.4,2.7,2.8,2.3,2.5,2.3,71.5,95.0,79.5,122.0,126.0,122.5,103.0,2.5
Togo,2.5,2.3,2.3,3.0,2.4,2.8,2.3,112.5,105.0,62.0,114.0,104.5,122.5,104.0,2.516666666666667
Guinea,2.5,2.4,2.4,2.2,2.7,2.5,2.7,98.0,95.0,129.5,86.0,126.0,90.0,105.0,2.483333333333333
Armenia,2.5,2.5,2.6,2.2,2.6,2.7,2.3,77.5,86.5,129.5,97.0,112.0,122.5,106.0,2.483333333333334
